journal,publication_year,title,abstract,keywords,doi,claim,llm_policy_claim
American Journal Of Preventive Medicine,2021,Understanding the Correlates of Firearm Violence Involvement Among Young Adults Experiencing Homelessness: A 7-City Study,"Introduction: Young adults experiencing homelessness are vulnerable to firearm violence. This study aims to explore the correlates of firearm violence involvement among this vulnerable population, which may inform firearm violence reduction intervention development. Methods: Between 2016 and 2017, young adults experiencing homelessness aged 18–26 years (N=1,426) were recruited in 7 U.S. cities. Respondents completed a self-administered computer-assisted anonymous survey regarding their homeless experiences and violence involvement. Separate multivariate logistic regression models were conducted in 2020 to explore the correlates of direct firearm violence victimization, witness of firearm violence, and firearm violence perpetration. Results: A high proportion of young adults experiencing homelessness were involved in firearm violence (witnessing firearm violence: 40%; direct firearm violence victimization: 28%; perpetration: 18%). Stressful experiences, such as childhood trauma and street victimization, were associated with greater odds of firearm violence involvement. Black (OR=2.4, p<0.001) and Latinx (OR=2.0, p<0.05) young adults had greater odds of experiencing direct firearm violence victimization than White young adults. Black (OR=2.0, p<0.01) and Latinx (OR=2.4, p<0.001) young adults were also at greater risk of witnessing firearm violence. Young adults with mental illness had greater odds of being directly victimized by firearm violence (OR=1.7, p<0.01). Conclusions: Given the inter-related nature of firearm violence involvement and given that risk factors for violence are often embedded in social and structural contexts, multipronged community-based approaches to prevent firearm violence among young adults experiencing homelessness are necessary. Targeted efforts may be indicated to attenuate the risk and promote resilience among subgroups of young adults experiencing homelessness who are disproportionately affected by firearm violence.",[],10.1016/j.amepre.2021.02.016,1,True
Preventive Medicine,2023,"The need for a personalized, core digital resource to facilitate health self-management","High quality healthcare is becoming increasingly unaffordable and inaccessible. To reverse this trend, people need to self-manage as much of their health as possible. They need to take appropriate preventive actions and use health services in a timely and efficient manner. Yet health self-management is challenging in an increasingly complex environment that involves competing demands and sometimes contradictory advice as well as increasingly fragmented delivery of health services. Digital tools have added a new dimension to healthcare and hold the potential to help bridge these challenges. Unfortunately, much of the potential benefit of digital resources is not being realized, partly because of difficulties people face in identifying appropriate and effective resources in a haystack of mainly unevaluated and often poorly conceived resources. Underuse and failure to maintain use of resources found to be effective also retards progress. Furthermore, people need more help to understand their needs and establish priorities around their health self-management. We argue that these needs can be met with a person-centered, digital self-management core resource that supports people to better understand their needs and priorities and has links to find the resources they need to manage their health, alone or by judicious use of health services.","['Digital technology', 'Health services', 'Preventive medicine', 'Public health', 'Risk assessment', 'Self-management', 'Social medicine', 'Telemedicine']",10.1016/j.ypmed.2023.107569,1,True
American Journal Of Public Health,2023,Integrating Racism as a Sentinel Indicator in Public Health Surveillance and Monitoring Systems,"Objectives. To evaluate public health surveillance and monitoring systems’ (PHSMS) efforts to collect, monitor, track, and analyze racism. Methods. We employed an environmental scan approach. We defined key questions and data to be collected, conducted a literature review, and synthesized the results by using a qualitative description approach. Results. We identified 125 PHSMS; only 3—the Behavioral Risk Factor Surveillance System, Pregnancy Risk Assessment and Monitoring System, and California Health Interview Survey—collected and reported data on individual-level racism. Structural racism was not collected in PHSMS; however, we observed evidence for linkages to census and administrative data sets or social media sources to assess structural racism. Conclusions. There is a paucity of PHSMS that measure individual-level racism, and few systems are linked to structural racism measures. Public Health Implications. Adopting a standard practice of racism surveillance can advance equity-centered public health praxis, inform policy, and foster greater accountability among public health practitioners, researchers, and decision-makers. Failure to explicitly address racism and the insufficient capacity to support a robust health equity data infrastructure severely impedes efforts to address and dismantle systemic racism.",[],10.2105/AJPH.2022.307160,1,True
European Journal Of Public Health,2024,Medical occupational check-ups during the COVID-19 pandemic in the European Union,"Given the enormous scale of the COVID-19 pandemic affecting the healthcare sector, limited human resource capacity, and efforts to prevent the spread of COVID-19, occupational health protection could not escape changes. The aim was to identify and compare the regulations regarding the provision of medical occupational check-ups (MOCs) during the pandemic in all European Union member states (EU MS). The study employed the Delphi method, involving experts from EU MS to assess MOC regulations between January 2020 and May 2021. Experts were queried regarding the existence and specifics of MOC regulations, particularly for entrance and periodic MOCs at hazardous and non-hazardous workplaces. Out of the 27 EU MS surveyed, 13 EU MS did not regulate MOCs, while 14 EU MS (51.6%) regulated the provision of MOCs. The regulations were changes in the way MOCs were provided, modifications (postponement in time, alternative provision, e.g. using telemedicine or online connection, or replacing the medical certificate of fitness to work based on the MOC with a declaration by the worker), or interruption without compensation, even for hazardous works. The regulations were in effect for different lengths of time and varied in some countries during the study period. The cumulative duration of MOC interruptions in all EU MS during the study period was 137 months (7.5% of the cumulative study period of 1836 months). Given the different approaches to the provision of MOCs in EU MS, it has proved appropriate to develop an optimal unified framework plan for future similar situations.",[],10.1093/eurpub/ckae103,1,True
International Journal Of Epidemiology,2024,Early developments of psychiatric epidemiology in Chile: a local history with global implications,"This viewpoint discusses a conference paper titled: “Epidemiological research on mental morbidity in Chile”, which summarizes a handful of studies from 1950s in Chile covering conditions such as alcoholism, psychosis, epilepsy, and neurosis. These were the first psychiatric epidemiological population studies conducted in the Southern hemisphere, but they are largely unknown globally. We argue that the Chilean studies have important implications for modern psychiatric epidemiology, as well as for related fields such as global mental health and mental health services research. This piece starts by describing the general sociopolitical context and presenting the main methodological features of the studies. It focuses then on three specific implications for the field: 1) promoting decoloniality in psychiatric epidemiology; 2) ensuring methodological rigor and feasibility; and 3) informing the development of mental health policy and services.","['Decoloniality', 'Global Mental Health', 'Latin America', 'Psychiatric Epidemiology']",10.1093/ije/dyae026,1,True
European Journal Of Public Health,2021,"Association between early treatment hospitals, serum cholesterol level and cardiovascular disease risk in dyslipidemia patients","Background: Studies have shown the importance of managing chronic diseases, such as cardiovascular disease (CVD), at the primary treatment level. Here, we aimed to evaluate the association between medical treatment institutions and health outcomes in patients with dyslipidemia, a major risk of CVD, to provide evidence for increasing chronic disease management at the primary care level in Korea. Methods: We used National Health Insurance Sampling cohort data, of which 37 506 patients were newly diagnosed with dyslipidemia during 2009-14. CVD risk and changes in serum cholesterol level after dyslipidemia diagnosis were outcome variable examined. A generalized estimating equation model was used to identify associations between initial medical institution, CVD risk and changes in serum cholesterol levels. The Cox proportional-hazard ratio was used to assess the association between initial medical institutions and detailed CVD risk. Subgroup analyses were conducted to assess CVD risk following treatment with prescription medication. Results: Our analyses demonstrate that CVD risk was lower at primary care-level community health centers and clinics compared to tertiary hospitals, with a statistically significant difference observed in clinics. Ischemic heart disease was lower at community health centers and clinics. However, all medical institution types were associated with significantly lower serum cholesterol levels compared to the baseline. Conclusions: Management of patients with dyslipidemia at primary care institutions was associated with reduced CVD risk and decreased serum cholesterol levels. Therefore, policymakers should strengthen the quality of healthcare at primary care institutions and educate patients that these institutions are appropriate for managing chronic disease.",[],10.1093/eurpub/ckaa139,1,True
Journal Of Epidemiology And Community Health,2023,Effect of cost-reduction interventions on facility-based deliveries in Burkina Faso: A controlled interrupted time-series study with multiple non-equivalent dependent variables,"Background Evaluating health intervention effectiveness in low-income countries involves many methodological challenges to be addressed. The objective of this study was to estimate the sustained effects of two interventions to improve financial access to facility-based deliveries. Methods In an innovative controlled interrupted time-series study with primary data, we used four non-equivalent dependent variables (antenatal care) as control outcomes to estimate the effects of a national subsidy for deliveries (January 2007-December 2013) and a local 'free delivery' intervention (June 2007-December 2010) on facility-based deliveries. The statistical analysis used spline linear regressions with random intercepts and slopes. Results The analysis involved 20 877 observations for the national subsidy and 8842 for the 'free delivery' intervention. The two interventions did not have immediate effects. However, both were associated with positive trend changes varying from 0.21 to 0.52 deliveries per month during the first 12 months and from 0.78 to 2.39 deliveries per month during the first 6 months. The absolute effects, evaluated 84 and 42 months after introduction, ranged from 2.64 (95% CI 0.51 to 4.77) to 10.78 (95% CI 8.52 to 13.03) and from 9.57 (95% CI 5.97 to 13.18) to 14.47 (95% CI 10.47 to 18.47) deliveries per month for the national subsidy and the 'free delivery' intervention, respectively, depending on the type of antenatal care used as a control outcome. Conclusion The results suggest that both interventions were associated with sustained non-linear increases in facility-based deliveries. The use of multiple control groups strengthens the credibility of the results, making them useful for policy makers seeking solutions for universal health coverage.","['EPIDEMIOLOGY', 'HEALTH POLICY', 'PUBLIC HEALTH', 'STUDY DESIGN']",10.1136/jech-2022-218794,1,True
American Journal Of Public Health,2023,"Screening for and Experiences of Intimate Partner Violence in the United States Before, During, and after Pregnancy, 2016–2019","Objectives. To measure rates of intimate partner violence (IPV) screening during the perinatal period among people experiencing physical violence in the United States. Methods. We used 2016–2019 Pregnancy Risk Assessment Monitoring System data (n 5 158 338) to describe the incidence of physical IPV before or during pregnancy. We then assessed the prevalence of IPV screening before, during, or after pregnancy and predictors of receiving screening among those reporting violence. Results. Among the 3.5% (n 5 6259) of respondents experiencing violence, 58.7%, 26.9%, and 48.3% were not screened before, during, or after pregnancy, respectively. Those reporting Medicaid or no insurance at birth, American Indian/Alaska Native people, and Spanish-speaking Hispanic people faced increased risk of not having a health care visit during which screening might occur. Among those attending a health care visit, privately insured people, rural residents, and non-Hispanic White respondents faced increased risk of not being screened. Conclusions. Among birthing people reporting physical IPV, nearly half were not screened for IPV before or after pregnancy. Public health efforts to improve maternal health must address both access to care and universal screening for IPV.",[],10.2105/AJPH.2022.307195,1,True
Preventive Medicine,2021,"Incongruency of youth food and physical activity environments in the United States: Variations by region, rurality, and income","Local environments are increasingly the focus of health behavior research and practice to reduce gaps between fruit/vegetable intake, physical activity (PA), and related guidelines. This study examined the congruency between youth food and PA environments and differences by region, rurality, and income across the United States. Food and PA environment data were obtained for all U.S. counties (N = 3142) using publicly available, secondary sources. Relationships between the food and PA environment tertiles was represented using five categories: 1) congruent–low (county falls in both the low food and PA tertiles), 2) congruent–high (county falls in both the high food and PA tertiles), 3) incongruent–food high/PA low (county falls in high food and low PA tertiles), 4) incongruent–food low/PA high (county falls in low food and high PA tertiles), and 5) intermediate food or PA (county falls in the intermediate tertile for food and/or PA). Results showed disparities in food and PA environment congruency according to region, rurality, and income (p < .0001 for each). Nearly 25% of counties had incongruent food and PA environments, with food high/PA low counties mostly in rural and low-income areas, and food low/PA high counties mostly in metropolitan and high-income areas. Approximately 8.7% of counties were considered congruent–high and were mostly located in the Northeast, metropolitan, and high-income areas. Congruent–low counties made up 10.0% of counties and were mostly in the South, rural, and low-income areas. National and regional disparities in environmental obesity determinants were identified that can inform targeted public health interventions.","['Congruency', 'Disparities', 'Food environment', 'Obesity', 'Physical activity environment', 'Youth']",10.1016/j.ypmed.2021.106594,1,True
Journal Of Epidemiology And Community Health,2023,Could diabetes prevention programmes result in the widening of sociodemographic inequalities in type 2 diabetes? Comparison of survey and administrative data for England,"Background The NHS Diabetes Prevention Programme (DPP) in England is a behavioural intervention for preventing type 2 diabetes mellitus (T2DM) among people with non-diabetic hyperglycaemia (NDH). How this programme affects inequalities by age, sex, limiting illnesses or disability, ethnicity or deprivation is not known. Methods We used multinomial and binary logistic regression models to compare whether the population with NDH at different stages of the programme are representative of the population with NDH: stages include (1) prevalence of NDH (using survey data from UK Household Longitudinal Study (n=794) and Health Survey for England (n=1383)); (2) identification in primary care and offer of programme (using administrative data from the National Diabetes Audit (n=1 267 350)) and (3) programme participation (using programme provider records (n=98 024)). Results Predicted probabilities drawn from the regressions with demographics as each outcome and dataset identifier as predictors showed that younger adults (aged under 40) (4% of the population with NDH (95% CI 2.4% to 6.5%)) and older adults (aged 80 and above) (12% (95% CI 9.5% to 14.2%)) were slightly under-represented among programme participants (2% (95% CI 1.8% to 2.2%) and 8% (95% CI 7.8% to 8.2%) of programme participants, respectively). People living in deprived areas were under-represented in eight sessions (14% (95% CI 13.7% to 14.4%) vs 20% (95% CI 16.4% to 23.6%) in the general population). Ethnic minorities were over-represented among offers (35% (95% CI 35.1% to 35.6%) vs 13% (95% CI 9.1% to 16.4%) in general population), though the proportion dropped at the programme completion stage (19% (95% CI 18.5% to 19.5%)). Conclusion The DPP has the potential to reduce ethnic inequalities, but may widen socioeconomic, age and limiting illness or disability-related inequalities in T2DM. While ethnic minority groups are over-represented at the identification and offer stages, efforts are required to support completion of the programme. Programme providers should target under-represented groups to ensure equitable access and narrow inequalities in T2DM.","['diabetes mellitus', 'health inequalities', 'prevention', 'primary health care']",10.1136/jech-2022-219654,1,True
Preventive Medicine,2022,"Self-perception of health and physical activity among adults before and amidst the COVID-19 pandemic: United States, 2019–2020","The compounded impact of the COVID-19 lockdowns on self-perception of health (SPoH) and physical activity (PA) levels among U.S. adults remains to be explored. We sought to: (1) describe the SPoH and PA levels among U.S. adults; (2) explore the relationship between SPoH and PA before and amidst the COVID-19 pandemic. We analyzed data from the 2019 and 2020 Health Information National Trends Survey (HINTS). COVID-19 was declared a pandemic by the World Health Organization on March 11th, 2020. This date was chosen to demarcate the responses as before and amidst the COVID-19 pandemic. Weighted prevalence estimates were presented alongside adjusted odds ratios from multivariable logistic regression of general SPoH and PA levels for U.S. adults before and amidst COVID-19 pandemic. We analyzed data for 9328 participants. Over half of the U.S. adult population reported performing no muscle strengthening exercise in 2019. The number of inactive people has slightly increased in 2020 (27.8%), compared to 2019 (26.5%). Overall, levels of PA for active people were comparable in 2020 pre and post the WHO pandemic declaration date (36.4% and 39.8%; respectively). Higher odds of negative SPoH were observed among black individuals, current cigarettes smokers, with annual income less than $35,000, physically inactive individuals, people who do not perform muscle-strengthening exercise, and who were very obese. Negative SPoH were associated with lack of moderate exercise, and lack of muscle-strengthening training among U.S. adults before and amidst the pandemic. Pandemic policies and recommendations should include and facilitate PA, specifically among vulnerable populations.","['COVID-19', 'Diagnostic self evaluation', 'Exercise', 'Health perception', 'Pandemic', 'Physical activity', 'Self concept']",10.1016/j.ypmed.2022.107037,1,True
Preventive Medicine,2022,The experience of secondary traumatic stress among community violence interventionists in Chicago,"Community violence intervention strategies are rising in prominence as promising alternatives to traditional criminal justice responses to gun violence. Although such approaches may offer policy advantages and yield societal benefits, the costs to the practitioners of this work—owing to the intimate proximity to violence required by the job—have generally been overlooked. Using a first of its kind survey of nearly the entire population of community-based violence interventionists in Chicago, Illinois (United States), this study assesses the extent to which violence intervention workers experience Secondary Traumatic Stress (STS). Responses to a series of 17 items on a Secondary Traumatic Stress Scale revealed alarmingly high levels of STS among violence interventionists: 94% of workers reported at least one STS indicator in the past 7 days and a full 50% reported experiencing 9 out of the 17 STS items. Our analysis further showed that the STS responses of interventionists were impacted by on-the-job traumatic experiences, particularly the death of a client. These results offer an important first systematic analysis of the trauma and mental health risks associated with community violence intervention practice and suggest that policymakers and practitioners should monitor and address worker risk of traumatic stress within this important public health profession.","['Community violence intervention', 'Gun violence', 'Secondary traumatic stress', 'Violence policy']",10.1016/j.ypmed.2022.107186,1,True
European Journal Of Public Health,2024,The impact of air pollution on hospitalization for COPD patients in China,"Background: With the rapid development of the global economy and the acceleration of urbanization, air pollution has become a major environmental problem threatening human health. There is limited evidence on the acute effects of air pollution on chronic obstructive pulmonary disease (COPD). Methods: From 2014 to 2019, we collected data on daily admissions for COPD patients from a city in China. We used the generalized additive model together with distributed lag models to fit the associations of air pollutants with hospital admissions. Results: We observed significant increments in the number of daily admissions (0.086–0.109%) for COPD for a unit range increase in air quality index, PM2:5 and PM10 over four lag days. The impact of air pollution on the number of daily admissions was mainly reflected in the COPD patients who were hospitalized through outpatient departments and tertiary hospitals. Discussion: Short-term exposure to outdoor air pollution may induce the occurrence or exacerbation of COPD patients; therefore, government departments should strengthen the management of air pollution, improve supervision and control mechanisms, pay attention to the quality of medical services, and reduce the adverse effects of air pollution on patients’ health.",[],10.1093/eurpub/ckad199,1,True
American Journal Of Preventive Medicine,2020,Reducing Both Food Insecurity and Excess Body Weight in Costa Rican Women: A Cluster Randomized Trial,"Introduction: The coexistence of food insecurity and excess body weight has been well documented in women. Both food insecurity and excess body weight have multiple consequences for physical and mental health. Concerns have been raised about interventions aimed to reduce food insecurity because these interventions might contribute to excess body weight, particularly in adult women. The purpose of this study was to develop, implement, and evaluate an intervention to simultaneously reduce food insecurity and body weight through alleviating discouragement—which women described as feeling sad, depressed, hopeless, and lacking drive to do important activities, such as finding a job or studying more—by increasing women's empowerment. Study design: This 2-armed cluster RCT was conducted from February to December 2017. Data were analyzed from January to July 2018. Setting/participants: Participants were food-insecure women with excess body weight in the Central Canton of the province of Alajuela, Costa Rica. Intervention: The intensive intervention arm consisted of activities at the individual (12 sessions lasting 2 hours each, 3 follow-up monthly sessions, and 1 closing session), household (1 workshop with the participants’ household and community members and homework with family participation), and community (2 brochures and 1 workshop) levels. The nonintensive control arm consisted of 3 sessions about healthy lifestyles lasting 1 hour each. Main outcome measures: Outcome measures included BMI, waist circumference, and food insecurity. Results: A total of 171 participants were enrolled (83 in intensive and 88 in nonintensive control arms). At 6 months, the intensive arm had greater decreases from baseline in BMI (−0.648, p=0.019), waist circumference (−2.21, p=0.002), and food insecurity (−1.35, p=0.009) compared with the nonintensive control arm. Conclusions: The intensive intervention was effective in simultaneously reducing food insecurity and excess body weight. Educational components should be added to interventions aimed to reduce food insecurity. Trial registration: This study is registered at www.clinicaltrials.gov NCT03492619.",[],10.1016/j.amepre.2019.11.021,1,True
American Journal Of Preventive Medicine,2020,"Violence Victimization, Substance Use Disparities, and Gender-Nonconforming Youth","Introduction: Exposure to violence victimization may help explain disparities of substance use among gender-nonconforming youth (i.e., those whose gender expression differs from societal expectations). Methods: In 2015, three large urban school districts (2 in California and 1 in Florida) conducted a Youth Risk Behavior Survey that included the assessment of gender expression among a racially/ethnically diverse population-based sample of 6,082 high school students. Five categories of violence victimization were assessed (felt unsafe at school, threatened or injured with a weapon at school, bullied at school, electronically bullied, and forced sexual intercourse). In 2019, the effect of violence victimization on substance use disparities was examined by calculating sex-stratified prevalence ratios by gender nonconformity, adjusted for sexual identity, race/ethnicity, and grade (adjusted prevalence ratio 1 [APR1]), and comparing these with prevalence ratios adjusted for those variables plus violence victimization (adjusted prevalence ratio 2 [APR2]). Results: Among female students, only being threatened or injured with a weapon was significantly (p<0.05) associated with gender nonconformity and there were no substance use disparities by gender nonconformity. Among male students, every category of violence victimization was more prevalent among gender-nonconforming than among gender-conforming students and most substance use categories demonstrated significant gender nonconformity disparities. After controlling for violence victimization, these disparities decreased but remained statistically significant for the use of cocaine (APR1=2.84 vs APR2=1.99), methamphetamine (APR1=4.47 vs APR2=2.86), heroin (APR1=4.55 vs APR2=2.96), and injection drug use (APR1=7.90 vs APR2=4.72). Conclusions: School-based substance use prevention programs may benefit from strategies that support gender diversity and reduce violence victimizations experienced by gender-nonconforming students, by providing a safe and supportive school environment.",[],10.1016/j.amepre.2019.12.021,1,True
American Journal Of Epidemiology,2024,"Daily heat and mortality among people experiencing homelessness in 2 urban US counties, 2015-2022","High and low daily ambient temperatures are associated with higher mortality in the general population. People experiencing homelessness (PEH) are thought to be particularly vulnerable, but there is almost no direct evidence available. We examined the temperature-mortality association among PEH in 2 populous, urban counties in hot-climate regions of the United States, focusing on heat effects. Study setting was Los Angeles County, CA, and Clark County, NV, which encompass the cities of Los Angeles and Las Vegas, respectively. Outcomes were 2015-2022 deaths among decedents categorized as homeless in county administrative records. We used quasi-Poisson distributed lag nonlinear models to estimate the association of mortality with daily temperatures and with 7-day lagged temperatures, adjusting for day of week, seasonality, and long-term trends. We estimated the minimum mortality temperature and fraction of mortality attributable to temperatures above and below minimum mortality temperature. The association between daily temperature and PEH mortality was skewed towards greater risk at higher temperatures, especially in Clark County. Temperature-attributable mortality equaled 50.1% of deaths in Clark County (95% CI, 29.0-62.8) and 7.0% in Los Angeles County (95% CI, 1.4-12.1). In both counties, most temperature-attributable deaths were attributable to heat rather than cold. In these hot-climate urban counties, our estimates of heat-attributable mortality among PEH were orders of magnitude greater than those reported in prior research on the general population. These results indicate that temperature vulnerability, particularly heat vulnerability, requires stronger public health and policy responses. This article is part of a Special Collection on Environmental Epidemiology.","['climate', 'heat-related mortality', 'homelessness', 'housing']",10.1093/aje/kwae084,1,True
Preventive Medicine,2022,Improving the wellbeing of LGBTQ+ employees: Do workplace diversity training and ally networks make a difference?,"Despite growing recognition that lesbian, gay, bisexual, trans, queer, and other minority (LGBTQ+) employees have lower levels of workplace wellbeing than cis-gender heterosexual employees, few studies have examined how different workplace interventions may mitigate these disparities. This study provides first-time evidence of associations between LGBTQ+ employee wellbeing and two types of initiatives that have received substantial public attention and employer uptake: workplace gender and sexuality diversity training and ally (or employee) networks. To accomplish this, the analyses leverage Australian data from a unique, national employer-employee survey of workplace inclusion (2020 Australian Workplace Equality Index Employee Survey; n = 31,277). These data were used to derive individual- as well as organizational-level measures of diversity training and ally behaviors, and to estimate their associations with a multidimensional index of LGBTQ+ employee wellbeing using fully adjusted random-intercept multilevel regression models. The results indicated that all individual- and organizational-level measures of workplace diversity training and ally behaviors exhibited positive, large, and statistically significant associations with the LGBTQ+ employee wellbeing index, controlling for an extensive set of confounds and organization-specific random effects. These findings have significant implications for health policy and practice. Specifically, they indicate that diversity training and ally networks may improve wellbeing amongst LGBTQ+ employees. This suggests that employer investments in diversity training and ally networks are effective interventions to enhance workplace culture, employee productivity and intergroup relations.","['Ally networks', 'Diversity training', 'LGBTQ+', 'Wellbeing', 'Workplace']",10.1016/j.ypmed.2022.107113,1,True
European Journal Of Public Health,2022,Kidney transplantation and withdrawal rates among wait-listed first-generation immigrants in Italy,"Background: Multiple barriers diminish access to kidney transplantation (KT) in immigrant compared to non-immigrant populations. It is unknown whether immigration status reduces the likelihood of KT after wait-listing despite universal healthcare coverage with uniform access to transplantation. Methods: We retrospectively collected data of all adult waiting list (WL) registrants in Italy (2010-20) followed for 5 years until death, KT in a foreign center, deceased-donor kidney transplant (DDKT), living-donor kidney transplant (LDKT) or permanent withdrawal from the WL. We calculated adjusted relative probability of DDKT, LDKT and permanent WL withdrawal in different immigrant categories using competing-risks multiple regression models. Results: Patients were European Union (EU)-born (n = 21 624), Eastern European-born (n = 606) and non-European-born (n = 1944). After controlling for age, sex, blood type, dialysis vintage, case-mix and sensitization status, non-European-born patients had lower LDKT rates compared to other immigrant categories: LDKT adjusted relative probability of non-European-born vs. Eastern European-born 0.51 (95% CI: 0.33-0.79; P = 0.002); of non-European-born vs. EU-Born: 0.65 (95% CI: 0.47-0.82; P = 0.001). Immigration status did not affect the rate of DDKT or permanent WL withdrawal. Conclusions: Among EU WL registrants, non-European immigration background is associated with reduced likelihood of LDKT but similar likelihood of DDKT and permanent WL withdrawal. Wherever not available, new national policies should enable coverage of travel and medical fees for living-donor surgery and follow-up for non-resident donors to improve uptake of LDKT in immigrant patients, and provide KT education that is culturally competent, individually tailored and easily understandable for patients and their potential living donors.",[],10.1093/eurpub/ckac027,1,True
American Journal Of Epidemiology,2021,Gestational Exposure to Organophosphate Pesticides and Longitudinally Assessed Behaviors Related to Attention-Deficit/Hyperactivity Disorder and Executive Function,"The brain's prefrontal cortex directs higher-order cognitive and behavioral processes that are important for attention, working memory, and inhibitory control.We investigated whether gestational exposure to organophosphate (OP) pesticides was associated with these abilities in childhood and early adolescence. Between 1999 and 2000, we enrolled pregnant women in a birth cohort drawn from an agricultural region of California. We measured dialkyl phosphate (DAP) metabolites of OP pesticides in maternal pregnancy urine samples (13 and 26 weeks) and estimated associations with behaviors related to attention-deficit/hyperactivity disorder and executive function, assessed longitudinally; 351 families provided neurodevelopmental outcome data at any point when the child was aged 7-12 years. We assessed function across multiple dimensions (e.g., working memory, attention), methods (e.g., behavior reports, child assessment), and reporters (e.g., mothers, teachers, child self-reports). Higher gestational DAP concentrations were consistently associated with behaviors related to attention-deficit/hyperactivity disorder and executive function. For example, a 10-fold increase in gestational DAP concentration was associated with poorer longitudinally assessed Behavior Rating Inventory of Executive Function scores, as reported by mothers (β = 4.0 (95% confidence interval: 2.1, 5.8); a higher score indicates more problems), and Weschler Intelligence Scale for Children-Fourth Edition Working Memory scores (a 3.8-point reduction; â=.3.8 (95% confidence interval:.6.2, .1.3)).Reducing gestational exposure to OP pesticides through public health policy is an important goal.","['attention', 'attention-deficit/hyperactivity disorder', 'executive function', 'gestational exposure', 'neurodevelopment', 'organophosphate pesticides']",10.1093/aje/kwab173,1,True
Journal Of Epidemiology And Community Health,2021,Nationwide seroprevalence of SARS-CoV-2 and identification of risk factors in the general population of the Netherlands during the first epidemic wave,"Background We aimed to detect SARS-CoV-2 serum antibodies in the general population of the Netherlands and identify risk factors for seropositivity amidst the first COVID-19 epidemic wave. Methods Participants (n=3207, aged 2-90 years), enrolled from a previously established nationwide serosurveillance study, provided a self-collected fingerstick blood sample and completed a questionnaire (median inclusion date 3 April 2020). IgG antibodies targeted against the spike S1-protein of SARS-CoV-2 were quantified using a validated multiplex-immunoassay. Seroprevalence was estimated controlling for survey design, individual pre-pandemic concentration, and test performance. Random-effects logistic regression identified risk factors for seropositivity. Results Overall seroprevalence in the Netherlands was 2.8% (95% CI 2.1 to 3.7), with no differences between sexes or ethnic background, and regionally ranging between 1.3 and 4.0%. Estimates were highest among 18-39 year-olds (4.9%), and lowest in children 2-17 years (1.7%). Multivariable analysis revealed that persons taking immunosuppressants and those from the Orthodox-Reformed Protestant community had over four times higher odds of being seropositive compared to others. Anosmia/ageusia was the most discriminative symptom between seropositive (53%) and seronegative persons (4%, p<0.0001). Antibody concentrations in seropositive persons were significantly higher in those with fever or dyspnoea in contrast to those without (p=0.01 and p=0.04, respectively). Conclusions In the midst of the first epidemic wave, 2.8% of the Dutch population was estimated to be infected with SARS-CoV-2, that is, 30 times higher than reported. This study identified independent groups with increased odds for seropositivity that may require specific surveillance measures to guide future protective interventions internationally, including vaccination once available.","['Epidemics', 'Epidemiology', 'Infection', 'Public health', 'Surveillance']",10.1136/jech-2020-215678,1,True
American Journal Of Public Health,2024,Proximity to Hospital-Based Obstetric Care in a Maternity Desert in the Deep South,"Objectives. To examine the accessibility of hospital facilities with maternity care services in 1 rural county in Alabama in preparation for the initiation of prenatal care services at a federally qualified health center. Methods. We analyzed driving distance (in miles) from maternal city of residence in Conecuh County, Alabama to hospital of delivery, using 2019–2021 vital statistics data and geographic information system (GIS) software. Results. A total of 370 births to mothers who have home addresses in Conecuh County were reported, and 368 of those were in hospital facilities. The majority of deliveries were less than 30 miles (median 5 23 miles) from the maternal city of residence. Some women traveled more than 70 miles for obstetrical care. Conclusions. Pregnant patients in Conecuh County experience significant geographic barriers related to perinatal care access. Using GIS for this analysis is a promising approach to better understand the unique challenges of pregnant individuals in this rural population. Public health policy efforts need to be geographically tailored to address these disparities.",[],10.2105/AJPH.2024.307692,1,True
Preventive Medicine,2022,Limits of prenatal care coordination for improving birth outcomes among Medicaid participants,"Maternity Care Homes (MCHs) intend to address clinical and psychosocial needs for perinatal patients and are commonly implemented for Medicaid beneficiaries. Rigorous evidence supporting MCHs' effectiveness for improving birth outcomes is thin, but most studies consider only clinical and demographic factors from administrative data. To assess birth outcomes with controls for psychosocial variables known to affect them, this paper considers quantitative participant-level data from the Strong Start for Mothers and Newborns prenatal care initiative, with qualitative case study data to further contextualize results. From 2013 to 2017, Strong Start served over 45,000 Medicaid beneficiaries in 32 states, D.C., and Puerto Rico though MCHs, group prenatal care, or freestanding birth centers. Participant data included risks screens for food insecurity, depression, anxiety, pregnancy intention, and intimate partner violence, in addition to clinical and demographic information. After clinical, demographic and psychosocial risks were controlled in a regression model, Strong Start birth center participants showed significantly lower rates of preterm birth, low birthweight, and cesarean section relative to MCH participants (p <.01). In group prenatal care, White participants showed lower rates of preterm birth (p <.01) and Black participants showed lower rates of low birthweight (p <.05) relative to MCH participants. Strong Start participants reported appreciation for MCH care managers' support, but community and clinical referrals often had long waiting lists or were inaccessible. Transformative care models focusing on provider continuity, relationship building, and patient activation may offer more promise for improving birth outcomes than supplementing medical models with care management and other resources.","['Care coordination', 'Cesarean rates', 'Equity', 'Prenatal care', 'Preterm birth']",10.1016/j.ypmed.2022.107240,1,True
